# NSE trading-calendar holiday seed — Task 9 (phase-0-data-foundations)
#
# Provenance: candidate non-trading weekdays = UNION of two independent
# calendar libraries over 2016-01-01..2026-12-31, run via
# `uv run --with exchange_calendars --with pandas_market_calendars`
# (dev-time only; neither package is a runtime dependency):
#   exchange_calendars==4.13.2 calendar="XBOM" -> 162 weekday non-sessions
#   pandas_market_calendars==5.4.0 calendar="NSE" -> 157 weekday non-sessions
#   union of both -> 163 candidates; the two disagreed on 7 dates
#     (2017-10-19, 2018-11-07, 2020-05-25, 2020-07-31, 2024-01-22, 2024-11-20, 2026-01-15)
#
# Verification method: every candidate <= 2026-08-20 (today) was probed live
# against the NSE archive with trading.sources.nse_udiff.NseUdiffSource("cm"),
# falling back to trading.sources.nse_legacy.NseLegacyCmSource if that
# returned None. A date is listed here as a holiday only if BOTH sources
# returned None (no bhavcopy published). A candidate where either source
# returned data is a special/Muhurat session, not a holiday — it is filed in
# nse_special_sessions.csv instead. Probe run: 2026-08-20, 424 total dates
# probed (163 weekday holiday candidates + 285 weekend special-session
# candidates for the Oct/Nov Muhurat window and Jan/Feb budget window), 0
# fetch errors.
#
# Elimination at each step: 163 weekday candidates -> 150 verified real
# holidays + 7 turned out to be special sessions (moved to
# nse_special_sessions.csv) + 6 future-dated candidates (2026-08-20 or later)
# that could not be probed, carried below marked `unverified`.
#
# Sorted by date, no duplicates.
2016-01-26,holiday (verified: no data from udiff or legacy)
2016-03-07,holiday (verified: no data from udiff or legacy)
2016-03-24,holiday (verified: no data from udiff or legacy)
2016-03-25,holiday (verified: no data from udiff or legacy)
2016-04-14,holiday (verified: no data from udiff or legacy)
2016-04-15,holiday (verified: no data from udiff or legacy)
2016-04-19,holiday (verified: no data from udiff or legacy)
2016-07-06,holiday (verified: no data from udiff or legacy)
2016-08-15,holiday (verified: no data from udiff or legacy)
2016-09-05,holiday (verified: no data from udiff or legacy)
2016-09-13,holiday (verified: no data from udiff or legacy)
2016-10-11,holiday (verified: no data from udiff or legacy)
2016-10-12,holiday (verified: no data from udiff or legacy)
2016-10-31,holiday (verified: no data from udiff or legacy)
2016-11-14,holiday (verified: no data from udiff or legacy)
2017-01-26,holiday (verified: no data from udiff or legacy)
2017-02-24,holiday (verified: no data from udiff or legacy)
2017-03-13,holiday (verified: no data from udiff or legacy)
2017-04-04,holiday (verified: no data from udiff or legacy)
2017-04-14,holiday (verified: no data from udiff or legacy)
2017-05-01,holiday (verified: no data from udiff or legacy)
2017-06-26,holiday (verified: no data from udiff or legacy)
2017-08-15,holiday (verified: no data from udiff or legacy)
2017-08-25,holiday (verified: no data from udiff or legacy)
2017-10-02,holiday (verified: no data from udiff or legacy)
2017-10-20,holiday (verified: no data from udiff or legacy)
2017-12-25,holiday (verified: no data from udiff or legacy)
2018-01-26,holiday (verified: no data from udiff or legacy)
2018-02-13,holiday (verified: no data from udiff or legacy)
2018-03-02,holiday (verified: no data from udiff or legacy)
2018-03-29,holiday (verified: no data from udiff or legacy)
2018-03-30,holiday (verified: no data from udiff or legacy)
2018-05-01,holiday (verified: no data from udiff or legacy)
2018-08-15,holiday (verified: no data from udiff or legacy)
2018-08-22,holiday (verified: no data from udiff or legacy)
2018-09-13,holiday (verified: no data from udiff or legacy)
2018-09-20,holiday (verified: no data from udiff or legacy)
2018-10-02,holiday (verified: no data from udiff or legacy)
2018-10-18,holiday (verified: no data from udiff or legacy)
2018-11-08,holiday (verified: no data from udiff or legacy)
2018-11-23,holiday (verified: no data from udiff or legacy)
2018-12-25,holiday (verified: no data from udiff or legacy)
2019-03-04,holiday (verified: no data from udiff or legacy)
2019-03-21,holiday (verified: no data from udiff or legacy)
2019-04-17,holiday (verified: no data from udiff or legacy)
2019-04-19,holiday (verified: no data from udiff or legacy)
2019-04-29,holiday (verified: no data from udiff or legacy)
2019-05-01,holiday (verified: no data from udiff or legacy)
2019-06-05,holiday (verified: no data from udiff or legacy)
2019-08-12,holiday (verified: no data from udiff or legacy)
2019-08-15,holiday (verified: no data from udiff or legacy)
2019-09-02,holiday (verified: no data from udiff or legacy)
2019-09-10,holiday (verified: no data from udiff or legacy)
2019-10-02,holiday (verified: no data from udiff or legacy)
2019-10-08,holiday (verified: no data from udiff or legacy)
2019-10-21,holiday (verified: no data from udiff or legacy)
2019-10-28,holiday (verified: no data from udiff or legacy)
2019-11-12,holiday (verified: no data from udiff or legacy)
2019-12-25,holiday (verified: no data from udiff or legacy)
2020-02-21,holiday (verified: no data from udiff or legacy)
2020-03-10,holiday (verified: no data from udiff or legacy)
2020-04-02,holiday (verified: no data from udiff or legacy)
2020-04-06,holiday (verified: no data from udiff or legacy)
2020-04-10,holiday (verified: no data from udiff or legacy)
2020-04-14,holiday (verified: no data from udiff or legacy)
2020-05-01,holiday (verified: no data from udiff or legacy)
2020-05-25,holiday (verified: no data from udiff or legacy)
2020-10-02,holiday (verified: no data from udiff or legacy)
2020-11-16,holiday (verified: no data from udiff or legacy)
2020-11-30,holiday (verified: no data from udiff or legacy)
2020-12-25,holiday (verified: no data from udiff or legacy)
2021-01-26,holiday (verified: no data from udiff or legacy)
2021-03-11,holiday (verified: no data from udiff or legacy)
2021-03-29,holiday (verified: no data from udiff or legacy)
2021-04-02,holiday (verified: no data from udiff or legacy)
2021-04-14,holiday (verified: no data from udiff or legacy)
2021-04-21,holiday (verified: no data from udiff or legacy)
2021-05-13,holiday (verified: no data from udiff or legacy)
2021-07-21,holiday (verified: no data from udiff or legacy)
2021-08-19,holiday (verified: no data from udiff or legacy)
2021-09-10,holiday (verified: no data from udiff or legacy)
2021-10-15,holiday (verified: no data from udiff or legacy)
2021-11-05,holiday (verified: no data from udiff or legacy)
2021-11-19,holiday (verified: no data from udiff or legacy)
2022-01-26,holiday (verified: no data from udiff or legacy)
2022-03-01,holiday (verified: no data from udiff or legacy)
2022-03-18,holiday (verified: no data from udiff or legacy)
2022-04-14,holiday (verified: no data from udiff or legacy)
2022-04-15,holiday (verified: no data from udiff or legacy)
2022-05-03,holiday (verified: no data from udiff or legacy)
2022-08-09,holiday (verified: no data from udiff or legacy)
2022-08-15,holiday (verified: no data from udiff or legacy)
2022-08-31,holiday (verified: no data from udiff or legacy)
2022-10-05,holiday (verified: no data from udiff or legacy)
2022-10-26,holiday (verified: no data from udiff or legacy)
2022-11-08,holiday (verified: no data from udiff or legacy)
2023-01-26,holiday (verified: no data from udiff or legacy)
2023-03-07,holiday (verified: no data from udiff or legacy)
2023-03-30,holiday (verified: no data from udiff or legacy)
2023-04-04,holiday (verified: no data from udiff or legacy)
2023-04-07,holiday (verified: no data from udiff or legacy)
2023-04-14,holiday (verified: no data from udiff or legacy)
2023-05-01,holiday (verified: no data from udiff or legacy)
2023-06-29,holiday (verified: no data from udiff or legacy)
2023-08-15,holiday (verified: no data from udiff or legacy)
2023-09-19,holiday (verified: no data from udiff or legacy)
2023-10-02,holiday (verified: no data from udiff or legacy)
2023-10-24,holiday (verified: no data from udiff or legacy)
2023-11-14,holiday (verified: no data from udiff or legacy)
2023-11-27,holiday (verified: no data from udiff or legacy)
2023-12-25,holiday (verified: no data from udiff or legacy)
2024-01-22,holiday (verified: no data from udiff or legacy)
2024-01-26,holiday (verified: no data from udiff or legacy)
2024-03-08,holiday (verified: no data from udiff or legacy)
2024-03-25,holiday (verified: no data from udiff or legacy)
2024-03-29,holiday (verified: no data from udiff or legacy)
2024-04-11,holiday (verified: no data from udiff or legacy)
2024-04-17,holiday (verified: no data from udiff or legacy)
2024-05-01,holiday (verified: no data from udiff or legacy)
2024-05-20,holiday (verified: no data from udiff or legacy)
2024-06-17,holiday (verified: no data from udiff or legacy)
2024-07-17,holiday (verified: no data from udiff or legacy)
2024-08-15,holiday (verified: no data from udiff or legacy)
2024-10-02,holiday (verified: no data from udiff or legacy)
2024-11-15,holiday (verified: no data from udiff or legacy)
2024-11-20,holiday (verified: no data from udiff or legacy)
2024-12-25,holiday (verified: no data from udiff or legacy)
2025-02-26,holiday (verified: no data from udiff or legacy)
2025-03-14,holiday (verified: no data from udiff or legacy)
2025-03-31,holiday (verified: no data from udiff or legacy)
2025-04-10,holiday (verified: no data from udiff or legacy)
2025-04-14,holiday (verified: no data from udiff or legacy)
2025-04-18,holiday (verified: no data from udiff or legacy)
2025-05-01,holiday (verified: no data from udiff or legacy)
2025-08-15,holiday (verified: no data from udiff or legacy)
2025-08-27,holiday (verified: no data from udiff or legacy)
2025-10-02,holiday (verified: no data from udiff or legacy)
2025-10-22,holiday (verified: no data from udiff or legacy)
2025-11-05,holiday (verified: no data from udiff or legacy)
2025-12-25,holiday (verified: no data from udiff or legacy)
2026-01-15,holiday (verified: no data from udiff or legacy)
2026-01-26,holiday (verified: no data from udiff or legacy)
2026-03-03,holiday (verified: no data from udiff or legacy)
2026-03-26,holiday (verified: no data from udiff or legacy)
2026-03-31,holiday (verified: no data from udiff or legacy)
2026-04-03,holiday (verified: no data from udiff or legacy)
2026-04-14,holiday (verified: no data from udiff or legacy)
2026-05-01,holiday (verified: no data from udiff or legacy)
2026-05-28,holiday (verified: no data from udiff or legacy)
2026-06-26,holiday (verified: no data from udiff or legacy)
2026-09-14,unverified (future-dated, from calendar-library union; not probed)
2026-10-02,unverified (future-dated, from calendar-library union; not probed)
2026-10-20,unverified (future-dated, from calendar-library union; not probed)
2026-11-10,unverified (future-dated, from calendar-library union; not probed)
2026-11-24,unverified (future-dated, from calendar-library union; not probed)
2026-12-25,unverified (future-dated, from calendar-library union; not probed)
